player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp,vorp,vorp_rank,adp_rank,value_gap
9221,Jahmyr Gibbs,RB,DET,1.1,331.4,18.0,63.0,533.0,3.0,255.0,1251.0,12.0,,,,3.0,177.7,1,1,0
9509,Bijan Robinson,RB,ATL,2.1,324.9,18.0,64.0,537.0,3.0,280.0,1372.0,9.0,,,,3.0,171.2,2,2,0
4034,Christian McCaffrey,RB,SF,5.5,291.0,18.0,70.0,606.0,4.0,240.0,984.0,7.0,,,Questionable,9.0,137.3,3,5,2
9493,Puka Nacua,WR,LAR,4.3,312.5,18.0,107.0,1400.0,10.0,10.0,55.0,,,,Questionable,3.0,133.5,4,4,0
7564,Ja'Marr Chase,WR,CIN,3.6,311.1,18.0,109.0,1345.0,11.0,3.0,16.0,,,,,5.0,132.10000000000002,5,3,-2
6813,Jonathan Taylor,RB,IND,7.4,272.3,18.0,36.0,278.0,1.0,287.0,1385.0,11.0,,,,6.0,118.60000000000002,6,7,1
8138,James Cook,RB,BUF,10.4,260.8,18.0,31.0,268.0,2.0,264.0,1270.0,11.0,,,,4.0,107.10000000000002,7,10,3
12527,Ashton Jeanty,RB,LV,14.6,259.5,18.0,50.0,383.0,2.0,281.0,1152.0,8.0,,,,1.0,105.80000000000001,8,14,6
9488,Jaxon Smith-Njigba,WR,SEA,5.8,284.6,18.0,99.0,1343.0,8.0,6.0,33.0,,,,,3.0,105.60000000000002,9,6,-3
7547,Amon-Ra St. Brown,WR,DET,8.7,280.5,18.0,106.0,1249.0,8.0,3.0,16.0,,,,,5.0,101.5,10,8,-2
9224,Chase Brown,RB,CIN,17.1,255.2,18.0,57.0,417.0,3.0,220.0,945.0,8.0,,,,3.0,101.5,11,17,6
11604,Brock Bowers,TE,LV,21.6,253.5,18.0,102.0,1077.0,7.0,4.0,18.0,,,,,2.0,93.69999999999999,12,21,9
3198,Derrick Henry,RB,BAL,22.0,246.9,18.0,17.0,133.0,1.0,281.0,1406.0,12.0,,,,10.0,93.20000000000002,13,22,9
4866,Saquon Barkley,RB,PHI,13.1,246.7,18.0,37.0,277.0,2.0,271.0,1220.0,8.0,,,,8.0,93.0,14,13,-1
9226,De'Von Achane,RB,MIA,11.7,245.4,18.0,55.0,424.0,2.0,212.0,1040.0,6.0,,,,3.0,91.70000000000002,15,12,-3
6786,CeeDee Lamb,WR,DAL,9.4,270.5,18.0,96.0,1249.0,8.0,3.0,16.0,,,,,6.0,91.5,16,9,-7
