player_id,player,pos,team,adp_ppr,pts_ppr,games,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,injury_status,years_exp
9221,Jahmyr Gibbs,RB,DET,1.6,331.4,18.0,63.0,533.0,3.0,255.0,1251.0,12.0,,,Questionable,3.0
9509,Bijan Robinson,RB,ATL,1.8,324.9,18.0,64.0,537.0,3.0,280.0,1372.0,9.0,,,,3.0
7564,Ja'Marr Chase,WR,CIN,3.4,311.1,18.0,109.0,1345.0,11.0,3.0,16.0,,,,,5.0
9493,Puka Nacua,WR,LAR,4.9,312.5,18.0,107.0,1400.0,10.0,10.0,55.0,,,,,3.0
4034,Christian McCaffrey,RB,SF,5.0,291.0,18.0,70.0,606.0,4.0,240.0,984.0,7.0,,,,9.0
9488,Jaxon Smith-Njigba,WR,SEA,5.4,284.6,18.0,99.0,1343.0,8.0,6.0,33.0,,,,,3.0
6813,Jonathan Taylor,RB,IND,7.7,272.3,18.0,36.0,278.0,1.0,287.0,1385.0,11.0,,,,6.0
7547,Amon-Ra St. Brown,WR,DET,8.1,280.5,18.0,106.0,1249.0,8.0,3.0,16.0,,,,,5.0
6786,CeeDee Lamb,WR,DAL,10.6,270.5,18.0,96.0,1249.0,8.0,3.0,16.0,,,,,6.0
6794,Justin Jefferson,WR,MIN,12.4,250.4,18.0,90.0,1178.0,7.0,1.0,6.0,,,,,6.0
9226,De'Von Achane,RB,MIA,12.5,245.4,18.0,55.0,424.0,2.0,212.0,1040.0,6.0,,,,3.0
8138,James Cook,RB,BUF,12.7,260.8,18.0,31.0,268.0,2.0,264.0,1270.0,11.0,,,,4.0
8112,Drake London,WR,ATL,14.1,250.2,18.0,90.0,1156.0,7.0,1.0,6.0,,,,,4.0
12527,Ashton Jeanty,RB,LV,15.4,259.5,18.0,50.0,383.0,2.0,281.0,1152.0,8.0,,,,1.0
4866,Saquon Barkley,RB,PHI,16.6,246.7,18.0,37.0,277.0,2.0,271.0,1220.0,8.0,,,,8.0
8130,Trey McBride,TE,ARI,18.7,234.9,18.0,96.0,969.0,7.0,,,,,,,4.0
12507,Omarion Hampton,RB,LAC,18.8,242.9,18.0,48.0,364.0,2.0,232.0,1025.0,8.0,,,,1.0
9224,Chase Brown,RB,CIN,19.0,255.2,18.0,57.0,417.0,3.0,220.0,945.0,8.0,,,,3.0
5859,A.J. Brown,WR,NE,19.4,247.2,18.0,79.0,1176.0,8.0,1.0,6.0,,,,,7.0
13287,Jeremiyah Love,RB,ARI,19.7,238.5,18.0,53.0,392.0,2.0,230.0,1003.0,6.0,,,,0.0
11604,Brock Bowers,TE,LV,20.2,253.5,18.0,102.0,1077.0,7.0,4.0,18.0,,,,,2.0
10229,Rashee Rice,WR,KC,22.7,229.3,18.0,88.0,964.0,7.0,6.0,29.0,,,,,3.0
8151,Kenneth Walker,RB,KC,22.9,244.0,18.0,37.0,272.0,2.0,259.0,1158.0,9.0,,,,4.0
8137,George Pickens,WR,DAL,23.1,245.7,18.0,80.0,1211.0,7.0,1.0,6.0,,,,,4.0
3198,Derrick Henry,RB,BAL,24.6,246.9,18.0,17.0,133.0,1.0,281.0,1406.0,12.0,,,,10.0
7569,Nico Collins,WR,HOU,25.2,251.5,18.0,82.0,1237.0,7.0,3.0,18.0,,,,,5.0
8144,Chris Olave,WR,NO,26.4,231.8,18.0,80.0,1072.0,7.0,1.0,6.0,,,,,4.0
11632,Malik Nabers,WR,NYG,27.3,227.3,18.0,82.0,1057.0,6.0,3.0,16.0,,,,Questionable,2.0
5850,Josh Jacobs,RB,GB,27.6,202.6,18.0,33.0,258.0,1.0,217.0,918.0,8.0,,,Questionable,7.0
4984,Josh Allen,QB,BUF,28.2,361.5,18.0,,,,110.0,535.0,11.0,3650.0,27.0,,8.0
8150,Kyren Williams,RB,LAR,32.2,208.0,18.0,32.0,219.0,2.0,228.0,981.0,8.0,,,,4.0
8155,Breece Hall,RB,NYJ,32.3,214.6,18.0,38.0,320.0,2.0,224.0,1006.0,6.0,,,,4.0
11584,Bucky Irving,RB,TB,34.4,197.3,18.0,36.0,271.0,2.0,211.0,902.0,6.0,,,,2.0
6801,Tee Higgins,WR,CIN,35.5,224.4,18.0,75.0,1048.0,7.0,1.0,6.0,,,,,6.0
7543,Travis Etienne,RB,NO,36.7,207.7,18.0,36.0,287.0,2.0,226.0,950.0,6.0,,,,5.0
12526,Tetairoa McMillan,WR,CAR,37.3,223.0,18.0,77.0,1074.0,6.0,1.0,6.0,,,,,1.0
4881,Lamar Jackson,QB,BAL,37.9,326.0,18.0,,,,119.0,668.0,5.0,3380.0,27.0,,8.0
7588,Javonte Williams,RB,DAL,38.3,207.3,18.0,37.0,239.0,1.0,239.0,1004.0,7.0,,,,5.0
8146,Garrett Wilson,WR,NYJ,40.9,224.9,18.0,83.0,1043.0,6.0,3.0,16.0,,,,,4.0
12519,Luther Burden,WR,CHI,41.1,218.0,18.0,76.0,936.0,7.0,11.0,64.0,,,,Questionable,1.0
12517,Colston Loveland,TE,CHI,41.2,215.4,18.0,84.0,950.0,6.0,1.0,4.0,,,,,1.0
11635,Ladd McConkey,WR,LAC,41.9,228.2,18.0,81.0,1040.0,7.0,2.0,12.0,,,,,2.0
9997,Zay Flowers,WR,BAL,43.8,228.2,18.0,81.0,1103.0,6.0,5.0,29.0,,,,Questionable,3.0
7525,DeVonta Smith,WR,PHI,44.9,229.2,18.0,80.0,1066.0,7.0,1.0,6.0,,,,Questionable,5.0
12514,Emeka Egbuka,WR,TB,45.8,224.0,18.0,77.0,1029.0,7.0,3.0,21.0,,,,,1.0
7526,Jaylen Waddle,WR,DEN,46.2,221.0,18.0,77.0,1002.0,7.0,3.0,18.0,,,,Questionable,5.0
2133,Davante Adams,WR,LAR,46.9,192.5,18.0,63.0,795.0,8.0,,,,,,,12.0
12529,TreVeyon Henderson,RB,NE,47.8,179.5,18.0,35.0,260.0,1.0,176.0,785.0,6.0,,,,1.0
12481,Cam Skattebo,RB,NYG,48.7,209.5,18.0,44.0,317.0,1.0,225.0,938.0,6.0,,,,1.0
12518,Tyler Warren,TE,IND,50.1,201.1,18.0,83.0,862.0,5.0,5.0,19.0,,,,,1.0
11564,Drake Maye,QB,NE,51.2,320.76,18.0,,,,85.0,416.0,4.0,3854.0,29.0,,2.0
